2025-11-26 10:05:46,506 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=11, nombre=jose, fecha_nac=2024-11-28}
2025-11-26 10:05:46,506 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1001, nombre=Ramon, fecha_nac=null}
2025-11-26 10:05:46,506 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1002, nombre=Maria, fecha_nac=null}
2025-11-26 10:05:46,507 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1003, nombre=Elena, fecha_nac=null}
2025-11-26 10:05:46,507 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1009, nombre=paco, fecha_nac=2000-01-03}
2025-11-26 10:05:46,507 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1101, nombre=Ramon, fecha_nac=null}
2025-11-26 10:05:46,507 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1102, nombre=Maria, fecha_nac=null}
2025-11-26 10:05:46,508 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=1103, nombre=Elena, fecha_nac=null}
2025-11-26 10:05:46,508 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2001, nombre=Ramón, fecha_nac=null}
2025-11-26 10:05:46,508 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2002, nombre=María, fecha_nac=null}
2025-11-26 10:05:46,508 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=2003, nombre=Elena, fecha_nac=null}
2025-11-26 10:05:46,509 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3001, nombre=Ramón, fecha_nac=null}
2025-11-26 10:05:46,509 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3002, nombre=María, fecha_nac=null}
2025-11-26 10:05:46,509 [main] INFO  es.ciudadescolar.Main                    - Alumno{expediente=3003, nombre=Elena, fecha_nac=null}
